addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1117,용산구,서울특별시,국립중앙박물관,5,10535,417934
1114,중구,서울특별시,덕수궁,6,22505,76731
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,23,4763
1141,서대문구,서울특별시,서대문형무소역사관,8,7987,73705
1141,서대문구,서울특별시,서대문자연사박물관,9,0,49720
1144,마포구,서울특별시,트릭아이미술관,10,14583,9793
1165,서초구,서울특별시,헌릉ㆍ인릉,11,9,3148
1168,강남구,서울특별시,선릉·정릉,12,595,26332
1111,종로구,서울특별시,창덕궁,1,36557,99431
1111,종로구,서울특별시,경복궁,2,68142,308138
1111,종로구,서울특별시,창경궁,3,4513,43801
1111,종로구,서울특별시,종묘,4,5338,19147
1117,용산구,서울특별시,국립중앙박물관,5,7720,190075
1114,중구,서울특별시,덕수궁,6,23578,133620
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,7,10180
1141,서대문구,서울특별시,서대문형무소역사관,8,5530,50794
1141,서대문구,서울특별시,서대문자연사박물관,9,0,0
1144,마포구,서울특별시,트릭아이미술관,10,9942,3899
1165,서초구,서울특별시,헌릉ㆍ인릉,11,10,4342
1168,강남구,서울특별시,선릉·정릉,12,1010,39542
1111,종로구,서울특별시,창덕궁,1,69877,347108
1111,종로구,서울특별시,경복궁,2,151735,850481
1111,종로구,서울특별시,창경궁,3,15164,192578
1111,종로구,서울특별시,종묘,4,6850,70083
1117,용산구,서울특별시,국립중앙박물관,5,9700,268676
1114,중구,서울특별시,덕수궁,6,47478,493927
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,9,26119
1141,서대문구,서울특별시,서대문형무소역사관,8,6060,95963
1141,서대문구,서울특별시,서대문자연사박물관,9,0,33587
1144,마포구,서울특별시,트릭아이미술관,10,15026,5479
1165,서초구,서울특별시,헌릉ㆍ인릉,11,10,7923
1168,강남구,서울특별시,선릉·정릉,12,1381,56424
1111,종로구,서울특별시,창덕궁,1,45898,155092
1111,종로구,서울특별시,경복궁,2,65577,225334
1111,종로구,서울특별시,창경궁,3,5307,67841
1111,종로구,서울특별시,종묘,4,4588,27018
1117,용산구,서울특별시,국립중앙박물관,5,7801,222719
1114,중구,서울특별시,덕수궁,6,29507,121730
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,3,6502
1141,서대문구,서울특별시,서대문형무소역사관,8,5083,45457
1141,서대문구,서울특별시,서대문자연사박물관,9,0,28265
1144,마포구,서울특별시,트릭아이미술관,10,11454,3422
1165,서초구,서울특별시,헌릉ㆍ인릉,11,10,2852
1168,강남구,서울특별시,선릉·정릉,12,1046,26891
