addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,3502
2711,중구,대구광역시,구암서원,1,238,1737
2714,동구,대구광역시,대구시니어체험관,2,11,450
2714,동구,대구광역시,팔공산 케이블카,3,0,35642
2720,남구,대구광역시,앞산케이블카,4,0,11387
2723,북구,대구광역시,대구사격장,5,112,20273
2726,수성구,대구광역시,대구미술관,6,0,25283
2729,달서구,대구광역시,이월드,7,536,78123
2729,달서구,대구광역시,온천 엘리바덴,8,395,61448
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,484,17112
2771,달성군,대구광역시,스파밸리,10,0,27501
2771,달성군,대구광역시,국립대구과학관,11,0,61120
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,3133
2711,중구,대구광역시,구암서원,1,79,375
2711,중구,대구광역시,향촌문화관,2,10,10857
2714,동구,대구광역시,대구시니어체험관,3,0,303
2714,동구,대구광역시,팔공산 케이블카,4,0,16009
2720,남구,대구광역시,앞산케이블카,5,0,10451
2723,북구,대구광역시,대구사격장,6,177,9946
2726,수성구,대구광역시,대구미술관,7,0,25621
2729,달서구,대구광역시,이월드,8,775,133761
2729,달서구,대구광역시,온천 엘리바덴,9,417,72960
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),10,481,14110
2771,달성군,대구광역시,스파밸리,11,0,8460
2771,달성군,대구광역시,국립대구과학관,12,0,58121
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),13,0,822
2711,중구,대구광역시,구암서원,1,32,292
2711,중구,대구광역시,향촌문화관,2,572,12359
2714,동구,대구광역시,대구시니어체험관,3,0,230
2714,동구,대구광역시,팔공산 케이블카,4,0,17117
2723,북구,대구광역시,대구사격장,5,104,13680
2726,수성구,대구광역시,대구미술관,6,0,25931
2729,달서구,대구광역시,이월드,7,738,125598
2729,달서구,대구광역시,온천 엘리바덴,8,512,93197
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,512,14110
2771,달성군,대구광역시,스파밸리,10,30,20125
2771,달성군,대구광역시,국립대구과학관,11,0,35215
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,1756
2711,중구,대구광역시,구암서원,1,9,305
2711,중구,대구광역시,향촌문화관,2,630,12106
2714,동구,대구광역시,대구시니어체험관,3,0,214
2714,동구,대구광역시,팔공산 케이블카,4,0,16271
2723,북구,대구광역시,대구사격장,5,104,20713
2726,수성구,대구광역시,대구미술관,6,0,15167
2729,달서구,대구광역시,이월드,7,854,134264
2729,달서구,대구광역시,온천 엘리바덴,8,1119,75598
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,668,15612
2771,달성군,대구광역시,스파밸리,10,195,7521
2771,달성군,대구광역시,국립대구과학관,11,0,31252
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,1758
2711,중구,대구광역시,구암서원,1,61,929
2711,중구,대구광역시,향촌문화관,2,11,7352
2714,동구,대구광역시,대구시니어체험관,3,0,442
2714,동구,대구광역시,팔공산 케이블카,4,0,20229
2723,북구,대구광역시,대구사격장,5,84,12077
2726,수성구,대구광역시,대구미술관,6,0,14915
2729,달서구,대구광역시,이월드,7,1089,142539
2729,달서구,대구광역시,온천 엘리바덴,8,491,60179
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,753,16288
2771,달성군,대구광역시,스파밸리,10,39,1578
2771,달성군,대구광역시,국립대구과학관,11,0,33785
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,3758
2711,중구,대구광역시,구암서원,1,40,974
2711,중구,대구광역시,향촌문화관,2,35,7934
2714,동구,대구광역시,대구시니어체험관,3,0,460
2714,동구,대구광역시,팔공산 케이블카,4,0,30443
2723,북구,대구광역시,대구사격장,5,661,22158
2726,수성구,대구광역시,대구미술관,6,0,15785
2729,달서구,대구광역시,이월드,7,1361,225379
2729,달서구,대구광역시,온천 엘리바덴,8,1410,28728
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,578,16353
2771,달성군,대구광역시,스파밸리,10,0,122217
2771,달성군,대구광역시,국립대구과학관,11,0,45665
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,3587
2711,중구,대구광역시,구암서원,1,22,1605
2711,중구,대구광역시,향촌문화관,2,30,11146
2714,동구,대구광역시,대구시니어체험관,3,0,795
2714,동구,대구광역시,팔공산 케이블카,4,0,31008
2723,북구,대구광역시,대구사격장,5,296,26818
2726,수성구,대구광역시,대구미술관,6,0,18730
2729,달서구,대구광역시,이월드,7,2523,206042
2729,달서구,대구광역시,온천 엘리바덴,8,1038,29854
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,754,30957
2771,달성군,대구광역시,스파밸리,10,69,52482
2771,달성군,대구광역시,국립대구과학관,11,779,78175
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,180,11175
2711,중구,대구광역시,구암서원,1,93,881
2711,중구,대구광역시,향촌문화관,2,832,7673
2714,동구,대구광역시,대구시니어체험관,3,42,422
2714,동구,대구광역시,팔공산 케이블카,4,0,24621
2723,북구,대구광역시,대구사격장,5,126,11500
2726,수성구,대구광역시,대구미술관,6,0,17215
2729,달서구,대구광역시,이월드,7,2732,101268
2729,달서구,대구광역시,온천 엘리바덴,8,1168,27122
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,212,15175
2771,달성군,대구광역시,스파밸리,10,75,46155
2771,달성군,대구광역시,국립대구과학관,11,390,305849
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,135,6194
2711,중구,대구광역시,구암서원,1,65,1597
